"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"EDEN","iShares MSCI Denmark ETF","ETF","--","--","--","No","0.53%","0.53%","01/25/2012","-8.67%","+11.66%","+8.52%","+12.82%","-8.89%","+11.63%","+8.50%","+12.63%","04/30/2025","-14.48%","+12.87%","+8.64%","+12.57%","-13.87%","+12.96%","+8.72%","+12.46%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"ENOR","iShares MSCI Norway ETF","ETF","--","--","--","No","0.53%","0.53%","01/23/2012","+15.43%","+12.00%","+3.47%","+3.24%","+16.12%","+12.18%","+3.49%","+3.36%","04/30/2025","+16.27%","+14.78%","+4.81%","+3.33%","+17.21%","+15.10%","+4.91%","+3.50%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"ABLG","Abacus FCF International Leaders ETF","ETF","--","--","--","No","0.54%","0.54%","06/27/2017","+3.93%","+8.92%","--","+4.63%","+3.42%","+8.87%","--","+4.30%","04/30/2025","-2.43%","+9.76%","--","+4.26%","-2.78%","+9.87%","--","+4.03%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","1 stars out of 657 funds","2 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"CGXU","Capital Group International Focus Equity ETF","ETF","--","--","--","No","0.54%","0.54%","02/22/2022","-1.99%","--","--","+1.16%","-1.61%","--","--","+1.20%","04/30/2025","-4.52%","--","--","+0.65%","-4.11%","--","--","+0.91%","03/31/2025","Foreign Large Growth","2 stars out of 368 funds","2 stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"CGIC","Capital Group International Core Equity ETF","ETF","--","--","--","No","0.54%","0.54%","06/25/2024","--","--","--","+7.44%","--","--","--","+7.76%","04/30/2025","--","--","--","+4.02%","--","--","--","+4.58%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"CGIE","Capital Group International Equity ETF","ETF","--","--","--","No","0.54%","0.54%","09/26/2023","+10.14%","--","--","+14.97%","+10.84%","--","--","+15.25%","04/30/2025","+2.08%","--","--","+12.15%","+2.32%","--","--","+12.71%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"EWD","iShares MSCI Sweden ETF","ETF","--","--","--","No","0.54%","0.54%","03/12/1996","+15.59%","+12.46%","+6.01%","+8.09%","+15.51%","+12.82%","+6.03%","+8.07%","04/30/2025","+7.48%","+13.42%","+5.84%","+7.97%","+7.00%","+13.58%","+5.81%","+7.95%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"IPKW","Invesco International BuyBack Achievers™ ETF","ETF","--","--","--","No","0.55%","0.55%","02/27/2014","+19.04%","+16.20%","+8.24%","+8.54%","+19.51%","+16.36%","+8.23%","+8.45%","04/30/2025","+19.56%","+18.65%","+8.96%","+8.71%","+19.81%","+18.88%","+8.93%","+8.66%","03/31/2025","Foreign Large Value","5 stars out of 337 funds","3 stars out of 337 funds","5 stars out of 312 funds","5 stars out of 222 funds","04/30/2025"
"EFAS","Global X MSCI SuperDividend® EAFE ETF","ETF","--","--","--","No","0.55%","0.55%","11/10/2016","+23.54%","+14.34%","--","+7.43%","+24.61%","+14.60%","--","+7.57%","04/30/2025","+14.91%","+14.52%","--","+6.73%","+16.07%","+14.95%","--","+7.00%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"JIG","JPMorgan International Growth ETF","ETF","--","--","--","No","0.55%","0.55%","05/20/2020","+9.72%","--","--","+5.98%","+9.30%","--","--","+5.90%","04/30/2025","+2.18%","--","--","+5.40%","+2.40%","--","--","+5.45%","03/31/2025","Foreign Large Growth","3 stars out of 368 funds","3 stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"VRAI","Virtus Real Asset Income ETF","ETF","--","--","--","No","0.55%","0.55%","02/07/2019","+0.43%","+8.18%","--","+2.64%","+0.40%","+8.40%","--","+2.68%","04/30/2025","+4.50%","+13.25%","--","+3.85%","+4.76%","+13.31%","--","+3.92%","03/31/2025","Global Small/Mid Stock","3 stars out of 166 funds","2 stars out of 166 funds","3 stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"EUDV","ProShares MSCI Europe Dividend Growers ETF","ETF","--","--","--","No","0.55%","0.55%","09/09/2015","+12.65%","+8.65%","--","+4.81%","+13.18%","+8.71%","--","+4.87%","04/30/2025","+2.20%","+9.07%","--","+4.17%","+2.91%","+9.51%","--","+4.35%","03/31/2025","Europe Stock","2 stars out of 82 funds","2 stars out of 82 funds","2 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"DSTX","Distillate International Fundamental Stability & Value ETF","ETF","--","--","--","No","0.55%","0.55%","12/14/2020","+12.33%","--","--","+3.25%","+13.04%","--","--","+3.25%","04/30/2025","+4.90%","--","--","+2.42%","+5.17%","--","--","+2.50%","03/31/2025","Foreign Large Blend","1 stars out of 657 funds","1 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"CORO","iShares International Country Rotation Active ETF","ETF","--","--","--","No","0.55%","1.08%","12/03/2024","--","--","--","+5.74%","--","--","--","+5.82%","04/30/2025","--","--","--","+2.61%","--","--","--","+3.28%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"DTAN","Sparkline International Intangible Value ETF","ETF","--","--","--","No","0.55%","0.55%","09/09/2024","--","--","--","+9.44%","--","--","--","+9.83%","04/30/2025","--","--","--","+5.84%","--","--","--","+6.67%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"EFFI","Harbor Osmosis International Resource Efficient ETF","ETF","--","--","--","No","0.55%","0.55%","12/11/2024","--","--","--","+8.28%","--","--","--","-2.20%","04/30/2025","--","--","--","+1.88%","--","--","--","-2.20%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"EFNL","iShares MSCI Finland ETF","ETF","--","--","--","No","0.55%","0.55%","01/25/2012","+14.46%","+7.54%","+5.18%","+6.97%","+14.49%","+7.42%","+5.24%","+6.67%","04/30/2025","+9.49%","+8.70%","+4.55%","+6.56%","+9.96%","+9.02%","+4.63%","+6.32%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FFDI","Fidelity Fundamental Developed International ETF","ETF","--","--","--","No","0.55%","0.55%","11/19/2024","--","--","--","+10.90%","--","--","--","+11.39%","04/30/2025","--","--","--","+4.55%","--","--","--","+5.48%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"FFGX","Fidelity Fundamental Global ex-U.S. ETF","ETF","--","--","--","No","0.55%","0.55%","11/19/2024","--","--","--","+6.97%","--","--","--","+7.16%","04/30/2025","--","--","--","+2.60%","--","--","--","+3.57%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"JIVE","Jpmorgan International Value ETF","ETF","--","--","--","No","0.55%","0.55%","09/13/2023","+19.27%","--","--","+20.54%","+19.34%","--","--","+20.69%","04/30/2025","+15.94%","--","--","+19.87%","+16.19%","--","--","+20.27%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"OSEA","Harbor International Compounders ETF","ETF","--","--","--","No","0.55%","0.55%","09/07/2022","+3.16%","--","--","+13.35%","+3.66%","--","--","+13.53%","04/30/2025","-2.74%","--","--","+12.10%","-2.47%","--","--","+12.46%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"RGEF","Rockefeller Global Equity ETF","ETF","--","--","--","No","0.55%","0.55%","10/25/2024","--","--","--","+1.97%","--","--","--","--","04/30/2025","--","--","--","+1.61%","--","--","--","--","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"SPWO","SP Funds S&P World ETF","ETF","--","--","--","No","0.55%","0.55%","12/19/2023","+8.47%","--","--","+8.99%","+7.94%","--","--","+9.01%","04/30/2025","+4.51%","--","--","+8.21%","+4.74%","--","--","+8.89%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"KBA","KraneShares Bosera MSCI China A 50 Connect Index ETF","ETF","--","--","--","No","0.56%","0.79%","03/04/2014","+5.96%","+0.80%","-2.97%","+4.12%","+6.11%","+1.34%","-2.94%","+4.08%","04/30/2025","+12.61%","+2.73%","-1.01%","+4.42%","+12.83%","+2.71%","-0.98%","+4.40%","03/31/2025","China Region","3 stars out of 83 funds","3 stars out of 83 funds","4 stars out of 69 funds","2 stars out of 43 funds","04/30/2025"
"FGD","First Trust Dow Jones Global Select Dividend Index Fund","ETF","--","--","--","No","0.56%","0.56%","11/21/2007","+17.87%","+14.07%","+5.10%","+4.26%","+17.88%","+14.11%","+5.10%","+4.23%","04/30/2025","+12.44%","+15.01%","+5.11%","+4.05%","+12.80%","+15.05%","+5.18%","+4.06%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","2 stars out of 337 funds","3 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"TLTE","FlexShares Morningstar Emerging Markets Factor Tilt Index Fund","ETF","--","--","--","No","0.57%","0.58%","09/25/2012","+6.02%","+8.32%","+2.82%","+3.16%","+5.98%","+8.55%","+2.78%","+3.00%","04/30/2025","+5.27%","+9.94%","+3.47%","+3.04%","+6.02%","+10.36%","+3.54%","+3.02%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","4 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"GREK","Global X MSCI Greece ETF","ETF","--","--","--","No","0.57%","0.57%","12/07/2011","+25.60%","+24.62%","+5.65%","+2.56%","+28.17%","+25.24%","+5.55%","+2.86%","04/30/2025","+21.39%","+25.91%","+6.19%","+2.19%","+22.82%","+26.12%","+6.20%","+2.47%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"IDX","VanEck Indonesia Index ETF","ETF","--","--","--","No","0.57%","0.84%","01/15/2009","-13.06%","+0.67%","-2.84%","+5.16%","-13.09%","+1.30%","-2.75%","+5.47%","04/30/2025","-19.69%","+2.35%","-4.29%","+4.75%","-19.84%","+2.39%","-4.35%","+5.04%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"DXJS","WisdomTree Japan Hedged SmallCap Equity Fund","ETF","--","--","--","No","0.58%","0.58%","06/28/2013","+6.30%","+18.11%","+10.22%","+11.92%","+6.95%","+18.47%","+10.32%","+11.80%","04/30/2025","+7.85%","+19.18%","+10.47%","+12.02%","+8.00%","+19.71%","+10.43%","+11.91%","03/31/2025","Japan Stock","5 stars out of 36 funds","5 stars out of 36 funds","5 stars out of 31 funds","5 stars out of 23 funds","04/30/2025"
"EUSC","WisdomTree Europe Hedged SmallCap Equity Fund","ETF","--","--","--","No","0.58%","0.58%","03/04/2015","+16.51%","+15.24%","+8.74%","+9.10%","+17.36%","+15.47%","+8.88%","+9.05%","04/30/2025","+13.81%","+16.74%","+8.46%","+8.85%","+14.46%","+17.42%","+8.55%","+8.84%","03/31/2025","Europe Stock","5 stars out of 82 funds","4 stars out of 82 funds","5 stars out of 81 funds","5 stars out of 58 funds","04/30/2025"
"IHDG","WisdomTree International Hedged Quality Dividend Growth Fund","ETF","--","--","--","No","0.58%","0.58%","05/07/2014","-1.16%","+10.44%","+7.90%","+8.52%","-0.87%","+10.55%","+7.90%","+8.44%","04/30/2025","-3.84%","+11.89%","+8.06%","+8.56%","-3.75%","+12.23%","+8.09%","+8.53%","03/31/2025","Foreign Large Growth","5 stars out of 368 funds","3 stars out of 368 funds","5 stars out of 333 funds","5 stars out of 220 funds","04/30/2025"
"DFJ","WisdomTree Japan SmallCap Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+12.17%","+8.68%","+6.32%","+4.61%","+13.00%","+8.99%","+6.39%","+4.69%","04/30/2025","+4.12%","+8.84%","+6.11%","+4.38%","+4.27%","+9.11%","+6.14%","+4.48%","03/31/2025","Japan Stock","4 stars out of 36 funds","4 stars out of 36 funds","4 stars out of 31 funds","3 stars out of 23 funds","04/30/2025"
"DGS","WisdomTree Emerging Markets SmallCap Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","10/30/2007","+0.17%","+10.79%","+4.53%","+3.51%","+0.54%","+11.02%","+4.57%","+3.48%","04/30/2025","-2.23%","+12.66%","+4.84%","+3.35%","-1.90%","+12.61%","+4.89%","+3.35%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","3 stars out of 722 funds","4 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"HEDJ","WisdomTree Europe Hedged Equity Fund","ETF","--","--","--","No","0.58%","0.58%","12/31/2009","+4.05%","+14.08%","+7.28%","+8.13%","+4.74%","+14.33%","+7.41%","+8.14%","04/30/2025","+0.98%","+15.99%","+7.08%","+8.19%","+1.43%","+16.43%","+7.15%","+8.22%","03/31/2025","Europe Stock","4 stars out of 82 funds","4 stars out of 82 funds","4 stars out of 81 funds","4 stars out of 58 funds","04/30/2025"
"AIVI","WisdomTree International Al Enhanced Value Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+20.31%","+11.57%","+4.51%","+4.18%","+21.03%","+11.73%","+4.51%","+4.13%","04/30/2025","+11.75%","+11.83%","+4.44%","+3.90%","+11.83%","+11.99%","+4.44%","+3.86%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","2 stars out of 312 funds","3 stars out of 222 funds","04/30/2025"
"BLES","Inspire Global Hope ETF","ETF","--","--","--","No","0.58%","0.58%","02/27/2017","+7.27%","+12.98%","--","+8.36%","+7.52%","+12.99%","--","+8.26%","04/30/2025","+2.09%","+15.84%","--","+8.31%","+2.09%","+15.97%","--","+8.23%","03/31/2025","Global Large-Stock Blend","3 stars out of 312 funds","2 stars out of 312 funds","3 stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DEW","WisdomTree Global High Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+15.83%","+12.51%","+5.81%","+4.80%","+16.19%","+12.69%","+5.80%","+4.76%","04/30/2025","+14.69%","+14.94%","+6.55%","+4.92%","+14.84%","+15.10%","+6.53%","+4.88%","03/31/2025","Global Large-Stock Value","3 stars out of 147 funds","3 stars out of 147 funds","3 stars out of 134 funds","2 stars out of 114 funds","04/30/2025"
"DIM","WisdomTree International MidCap Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+18.33%","+10.84%","+4.80%","+5.28%","+19.32%","+11.11%","+4.79%","+5.25%","04/30/2025","+9.04%","+11.10%","+4.65%","+4.97%","+9.08%","+11.24%","+4.62%","+4.96%","03/31/2025","Foreign Small/Mid Value","3 stars out of 55 funds","3 stars out of 55 funds","2 stars out of 48 funds","3 stars out of 29 funds","04/30/2025"
"DTH","WisdomTree International High Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+17.74%","+12.49%","+4.40%","+4.01%","+18.62%","+12.70%","+4.40%","+3.99%","04/30/2025","+11.65%","+12.97%","+4.45%","+3.79%","+12.66%","+13.21%","+4.56%","+3.83%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"EUDG","WisdomTree Europe Quality Dividend Growth Fund","ETF","--","--","--","No","0.58%","0.58%","05/07/2014","+8.61%","+10.08%","+5.83%","+5.08%","+8.88%","+10.19%","+5.82%","+4.99%","04/30/2025","+1.70%","+10.62%","+5.88%","+4.75%","+1.96%","+11.04%","+5.91%","+4.76%","03/31/2025","Europe Stock","3 stars out of 82 funds","2 stars out of 82 funds","2 stars out of 81 funds","4 stars out of 58 funds","04/30/2025"
"DLS","WisdomTree International SmallCap Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+12.28%","+9.89%","+4.77%","+5.37%","+12.81%","+10.10%","+4.73%","+5.32%","04/30/2025","+5.33%","+10.74%","+4.79%","+5.11%","+5.51%","+10.89%","+4.80%","+5.09%","03/31/2025","Foreign Small/Mid Value","2 stars out of 55 funds","2 stars out of 55 funds","2 stars out of 48 funds","2 stars out of 29 funds","04/30/2025"
"SDIV","Global X SuperDividend™ ETF","ETF","--","--","--","No","0.58%","0.58%","06/08/2011","+7.21%","+2.33%","-3.33%","-0.70%","+7.48%","+2.35%","-3.39%","-0.81%","04/30/2025","+7.54%","+4.60%","-3.01%","-0.76%","+7.68%","+4.68%","-3.00%","-0.82%","03/31/2025","Global Small/Mid Stock","2 stars out of 166 funds","2 stars out of 166 funds","2 stars out of 144 funds","1 stars out of 88 funds","04/30/2025"
"DFE","WisdomTree Europe SmallCap Dividend Fund","ETF","--","--","--","No","0.58%","0.58%","06/16/2006","+14.04%","+11.81%","+4.93%","+5.73%","+15.28%","+12.12%","+5.01%","+5.66%","04/30/2025","+5.94%","+12.63%","+4.86%","+5.37%","+6.93%","+13.05%","+4.96%","+5.33%","03/31/2025","Europe Stock","1 stars out of 82 funds","1 stars out of 82 funds","2 stars out of 81 funds","1 stars out of 58 funds","04/30/2025"
"MOTI","VanEck Morningstar International Moat ETF","ETF","--","--","--","No","0.58%","0.61%","07/13/2015","+13.40%","+8.39%","--","+4.51%","+13.70%","+8.47%","--","+4.37%","04/30/2025","+11.47%","+10.07%","--","+4.42%","+12.03%","+9.94%","--","+4.35%","03/31/2025","Foreign Large Value","1 stars out of 337 funds","1 stars out of 337 funds","1 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"EWT","iShares MSCI Taiwan ETF","ETF","--","--","--","No","0.59%","0.59%","06/20/2000","+4.40%","+12.73%","+9.11%","+4.24%","+3.97%","+13.02%","+9.08%","+4.21%","04/30/2025","+1.29%","+15.78%","+9.57%","+4.25%","+0.72%","+15.68%","+9.56%","+4.22%","03/31/2025","China Region","5 stars out of 83 funds","5 stars out of 83 funds","5 stars out of 69 funds","5 stars out of 43 funds","04/30/2025"
"FYLD","Cambria Foreign Shareholder Yield ETF","ETF","--","--","--","No","0.59%","0.59%","12/02/2013","+4.81%","+14.27%","+5.97%","+5.19%","+5.32%","+14.74%","+6.05%","+5.24%","04/30/2025","+4.44%","+16.21%","+6.43%","+5.21%","+4.27%","+16.49%","+6.47%","+5.26%","03/31/2025","Foreign Small/Mid Value","4 stars out of 55 funds","2 stars out of 55 funds","4 stars out of 48 funds","4 stars out of 29 funds","04/30/2025"
"FDD","First Trust STOXX® European Select Dividend Index Fund","ETF","--","--","--","No","0.59%","0.59%","08/27/2007","+29.53%","+14.28%","+5.73%","+0.65%","+29.97%","+14.46%","+5.75%","+0.65%","04/30/2025","+23.31%","+13.53%","+5.49%","+0.35%","+23.53%","+13.54%","+5.49%","+0.35%","03/31/2025","Europe Stock","3 stars out of 82 funds","3 stars out of 82 funds","3 stars out of 81 funds","2 stars out of 58 funds","04/30/2025"
"GXC","SPDR® S&P China ETF","ETF","--","--","--","No","0.59%","0.59%","03/19/2007","+21.53%","-1.05%","+0.49%","+4.58%","+22.18%","-0.85%","+0.44%","+4.49%","04/30/2025","+34.37%","+1.00%","+2.42%","+4.85%","+34.50%","+1.11%","+2.35%","+4.80%","03/31/2025","China Region","3 stars out of 83 funds","4 stars out of 83 funds","3 stars out of 69 funds","3 stars out of 43 funds","04/30/2025"
"MCHI","iShares MSCI China ETF","ETF","--","--","--","No","0.59%","0.59%","03/29/2011","+26.05%","-1.01%","-0.08%","+2.24%","+26.26%","-1.00%","-0.07%","+2.00%","04/30/2025","+39.82%","+0.95%","+1.98%","+2.62%","+40.12%","+0.96%","+1.86%","+2.39%","03/31/2025","China Region","3 stars out of 83 funds","4 stars out of 83 funds","2 stars out of 69 funds","3 stars out of 43 funds","04/30/2025"
"CAMX","Cambiar Aggressive Value ETF","ETF","--","--","--","No","0.59%","0.59%","08/31/2007","+3.49%","+15.36%","+4.92%","+7.34%","+2.38%","+15.14%","+4.82%","+7.28%","04/30/2025","+4.31%","+18.30%","+5.87%","+7.58%","+5.54%","+18.59%","+6.00%","+7.66%","03/31/2025","Global Large-Stock Value","2 stars out of 147 funds","3 stars out of 147 funds","4 stars out of 134 funds","1 stars out of 114 funds","04/30/2025"
"ECNS","iShares MSCI China Small-Cap ETF","ETF","--","--","--","No","0.59%","0.59%","09/28/2010","+19.50%","-0.86%","-3.69%","-0.53%","+18.03%","-0.94%","-3.70%","-0.67%","04/30/2025","+25.22%","-0.06%","-1.23%","-0.46%","+23.05%","+0.07%","-1.31%","-0.60%","03/31/2025","China Region","2 stars out of 83 funds","2 stars out of 83 funds","3 stars out of 69 funds","2 stars out of 43 funds","04/30/2025"
"EWZ","iShares MSCI Brazil ETF","ETF","--","--","--","No","0.59%","0.59%","07/10/2000","-5.95%","+9.44%","+1.96%","+4.99%","-5.90%","+9.56%","+2.02%","+4.98%","04/30/2025","-13.90%","+9.56%","+3.03%","+4.82%","-13.90%","+9.58%","+3.03%","+4.80%","03/31/2025","Latin America Stock","2 stars out of 16 funds","2 stars out of 16 funds","2 stars out of 15 funds","2 stars out of 11 funds","04/30/2025"
"ARGT","Global X MSCI Argentina ETF","ETF","--","--","--","No","0.59%","0.59%","03/02/2011","+51.51%","+38.23%","+15.91%","+8.95%","+51.52%","+38.55%","+15.86%","+8.84%","04/30/2025","+53.34%","+39.54%","+15.85%","+8.59%","+52.44%","+39.48%","+15.75%","+8.43%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"BCOR","Grayscale Bitcoin Adopters ETF","ETF","--","--","--","No","0.59%","0.59%","04/29/2025","--","--","--","-0.74%","--","--","--","-0.73%","04/30/2025","--","--","--","--","--","--","--","--","--","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DRAG","Roundhill China Dragons ETF","ETF","--","--","--","No","0.59%","0.59%","10/02/2024","--","--","--","-1.71%","--","--","--","-2.37%","04/30/2025","--","--","--","+6.93%","--","--","--","+6.78%","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"EIDO","iShares MSCI Indonesia ETF","ETF","--","--","--","No","0.59%","0.59%","05/05/2010","-13.02%","+3.07%","-1.64%","-0.28%","-12.38%","+3.96%","-1.45%","+0.27%","04/30/2025","-23.87%","+4.75%","-3.07%","-0.62%","-23.93%","+4.81%","-3.15%","-0.13%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EIS","iShares MSCI Israel ETF","ETF","--","--","--","No","0.59%","0.59%","03/26/2008","+34.11%","+10.47%","+5.76%","+4.57%","+34.83%","+10.51%","+5.83%","+4.64%","04/30/2025","+18.59%","+11.69%","+5.48%","+4.28%","+18.43%","+11.91%","+5.49%","+4.34%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EPHE","iShares MSCI Philippines ETF","ETF","--","--","--","No","0.59%","0.59%","09/28/2010","+5.19%","+2.88%","-3.07%","+1.53%","+6.89%","+3.81%","-2.89%","+1.56%","04/30/2025","-5.96%","+3.43%","-3.89%","+1.15%","-6.24%","+3.51%","-3.79%","+1.14%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EPU","iShares MSCI Peru ETF","ETF","--","--","--","No","0.59%","0.59%","06/19/2009","+15.79%","+15.86%","+7.08%","+6.53%","+14.73%","+16.62%","+7.06%","+6.70%","04/30/2025","+18.82%","+17.37%","+7.66%","+6.45%","+18.43%","+18.53%","+7.72%","+6.67%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EWUS","iShares MSCI United Kingdom Small-Cap ETF","ETF","--","--","--","No","0.59%","0.59%","01/25/2012","+11.92%","+6.37%","+1.92%","+5.81%","+10.91%","+6.34%","+1.88%","+5.55%","04/30/2025","+2.82%","+7.47%","+1.88%","+5.32%","+2.51%","+7.71%","+1.89%","+5.11%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EWY","iShares MSCI South Korea ETF","ETF","--","--","--","No","0.59%","0.59%","05/09/2000","-8.43%","+3.56%","+1.03%","+5.46%","-8.72%","+3.57%","+1.06%","+5.44%","04/30/2025","-17.41%","+4.60%","+1.33%","+5.32%","-17.52%","+4.75%","+1.34%","+5.30%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EZA","iShares MSCI South Africa ETF","ETF","--","--","--","No","0.59%","0.59%","02/03/2003","+31.02%","+13.50%","+0.93%","+8.05%","+32.06%","+14.36%","+0.99%","+8.07%","04/30/2025","+30.51%","+15.62%","+1.15%","+7.93%","+31.46%","+15.98%","+1.24%","+7.96%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"ISRA","VanEck Israel ETF","ETF","--","--","--","No","0.59%","0.71%","06/25/2013","+27.50%","+8.16%","+4.48%","+6.19%","+28.32%","+8.38%","+4.59%","+6.13%","04/30/2025","+13.55%","+9.77%","+4.32%","+5.85%","+13.76%","+9.85%","+4.32%","+5.75%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"MFSI","MFS Active International ETF","ETF","--","--","--","No","0.59%","0.59%","12/04/2024","--","--","--","+5.03%","--","--","--","+5.26%","04/30/2025","--","--","--","+1.88%","--","--","--","+2.54%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"PJBF","PGIM Jennison Better Future ETF","ETF","--","--","--","Yes","0.59%","0.59%","12/14/2023","+2.37%","--","--","+8.60%","+2.06%","--","--","+8.58%","04/30/2025","-7.49%","--","--","+4.94%","-7.48%","--","--","+5.20%","03/31/2025","Global Large-Stock Growth","-- stars out of 325 funds","-- stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"THD","iShares MSCI Thailand ETF","ETF","--","--","--","No","0.59%","0.59%","03/26/2008","-2.04%","-1.16%","-1.00%","+3.24%","-1.43%","-0.54%","-0.91%","+3.22%","04/30/2025","-8.35%","+0.96%","-1.51%","+2.93%","-8.06%","+0.80%","-1.52%","+2.92%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
